Datetime,Volume,Open,High,Low,Close
2020-11-03 05:00:00,111.0,1.16496,1.16508,1.16492,1.16506
2020-11-03 05:05:00,106.0,1.16508,1.16526,1.16508,1.16516
2020-11-03 05:10:00,133.0,1.16514,1.16542,1.16511,1.1654
2020-11-03 05:15:00,98.0,1.16539,1.1654,1.16523,1.16526
2020-11-03 05:20:00,55.0,1.16524,1.16529,1.16519,1.16526
2020-11-03 05:25:00,215.0,1.16526,1.16578,1.16526,1.16571
2020-11-03 05:30:00,154.0,1.1657,1.16582,1.16556,1.1658
2020-11-03 05:35:00,164.0,1.1658,1.16598,1.16556,1.16598
2020-11-03 05:40:00,122.0,1.16596,1.16598,1.16568,1.16568
2020-11-03 05:45:00,87.0,1.16566,1.16578,1.16562,1.16578
2020-11-03 05:50:00,161.0,1.1658,1.16588,1.16547,1.16554
2020-11-03 05:55:00,132.0,1.16555,1.16569,1.16542,1.1655
2020-11-03 06:00:00,234.0,1.1655,1.16556,1.1654,1.16546
2020-11-03 06:05:00,182.0,1.16544,1.16568,1.16533,1.16559
2020-11-03 06:10:00,128.0,1.16558,1.16559,1.16536,1.16551
2020-11-03 06:15:00,132.0,1.16552,1.16554,1.1654,1.16548
2020-11-03 06:20:00,102.0,1.16549,1.16552,1.16534,1.16541
2020-11-03 06:25:00,98.0,1.1654,1.16556,1.1654,1.16554
2020-11-03 06:30:00,99.0,1.16553,1.16562,1.1655,1.16558
2020-11-03 06:35:00,194.0,1.16556,1.16593,1.16553,1.16592
2020-11-03 06:40:00,153.0,1.16591,1.16596,1.16582,1.16594
2020-11-03 06:45:00,303.0,1.16595,1.16655,1.16592,1.16648
2020-11-03 06:50:00,320.0,1.1665,1.16661,1.1661,1.16615
2020-11-03 06:55:00,269.0,1.16614,1.16615,1.16598,1.16608
2020-11-03 07:00:00,543.0,1.16609,1.16628,1.16584,1.16606
2020-11-03 07:05:00,482.0,1.16604,1.16617,1.16587,1.16606
2020-11-03 07:10:00,365.0,1.16608,1.16616,1.16584,1.16595
2020-11-03 07:15:00,373.0,1.16594,1.16609,1.16583,1.16604
2020-11-03 07:20:00,349.0,1.16602,1.16628,1.16584,1.16626
2020-11-03 07:25:00,225.0,1.16626,1.16629,1.16612,1.16617
2020-11-03 07:30:00,260.0,1.16616,1.16638,1.16597,1.166
2020-11-03 07:35:00,388.0,1.16601,1.16657,1.16589,1.16636
2020-11-03 07:40:00,391.0,1.16634,1.16672,1.16628,1.16661
2020-11-03 07:45:00,351.0,1.16662,1.16692,1.16648,1.16678
2020-11-03 07:50:00,520.0,1.1668,1.1673,1.16679,1.16695
2020-11-03 07:55:00,387.0,1.16694,1.16718,1.16674,1.16717
2020-11-03 08:00:00,584.0,1.16716,1.16716,1.16666,1.16692
2020-11-03 08:05:00,511.0,1.1669,1.16733,1.16686,1.16728
2020-11-03 08:10:00,632.0,1.16726,1.16745,1.16704,1.16704
2020-11-03 08:15:00,583.0,1.16703,1.16802,1.16699,1.16801
2020-11-03 08:20:00,693.0,1.16802,1.16843,1.16802,1.1684
2020-11-03 08:25:00,569.0,1.16842,1.16889,1.16842,1.16868
2020-11-03 08:30:00,605.0,1.16866,1.16876,1.16814,1.16814
2020-11-03 08:35:00,374.0,1.16812,1.16838,1.16804,1.16836
2020-11-03 08:40:00,401.0,1.16834,1.16854,1.16814,1.16836
2020-11-03 08:45:00,422.0,1.16838,1.16843,1.16803,1.16826
2020-11-03 08:50:00,396.0,1.16828,1.16849,1.16816,1.16826
2020-11-03 08:55:00,455.0,1.16824,1.16858,1.16812,1.16838
2020-11-03 09:00:00,419.0,1.16837,1.16869,1.16831,1.16833
2020-11-03 09:05:00,386.0,1.16834,1.16834,1.16795,1.1681
2020-11-03 09:10:00,523.0,1.16811,1.16854,1.16786,1.16854
2020-11-03 09:15:00,616.0,1.16856,1.16919,1.16842,1.16884
2020-11-03 09:20:00,415.0,1.16882,1.16927,1.1688,1.16926
2020-11-03 09:25:00,412.0,1.16925,1.16944,1.16902,1.16904
2020-11-03 09:30:00,422.0,1.16902,1.16924,1.16892,1.16922
2020-11-03 09:35:00,566.0,1.16923,1.16948,1.16904,1.1693
2020-11-03 09:40:00,483.0,1.16929,1.16938,1.16894,1.16934
2020-11-03 09:45:00,622.0,1.16933,1.16959,1.16926,1.16944
2020-11-03 09:50:00,391.0,1.16943,1.16961,1.16932,1.16948
2020-11-03 09:55:00,411.0,1.1695,1.16978,1.16938,1.16968
2020-11-03 10:00:00,454.0,1.16966,1.16969,1.16918,1.16922
2020-11-03 10:05:00,335.0,1.16924,1.16978,1.16924,1.16973
2020-11-03 10:10:00,345.0,1.16972,1.16974,1.16936,1.16937
2020-11-03 10:15:00,381.0,1.16936,1.16971,1.16929,1.16971
2020-11-03 10:20:00,363.0,1.16972,1.16985,1.16945,1.16951
2020-11-03 10:25:00,243.0,1.1695,1.16967,1.16944,1.16954
2020-11-03 10:30:00,270.0,1.16952,1.16966,1.16942,1.16947
2020-11-03 10:35:00,246.0,1.16948,1.16985,1.16948,1.16972
2020-11-03 10:40:00,310.0,1.16973,1.16976,1.16934,1.16942
2020-11-03 10:45:00,304.0,1.16944,1.16985,1.16942,1.16963
2020-11-03 10:50:00,328.0,1.16962,1.16974,1.16952,1.16953
2020-11-03 10:55:00,317.0,1.16952,1.1698,1.1695,1.16974
2020-11-03 11:00:00,371.0,1.16976,1.16982,1.16957,1.16977
2020-11-03 11:05:00,592.0,1.16978,1.17026,1.16963,1.16969
2020-11-03 11:10:00,352.0,1.16971,1.17006,1.1697,1.17
2020-11-03 11:15:00,349.0,1.16999,1.17016,1.1698,1.17011
2020-11-03 11:20:00,380.0,1.17013,1.17054,1.17013,1.17032
2020-11-03 11:25:00,321.0,1.17032,1.17058,1.17026,1.17044
2020-11-03 11:30:00,606.0,1.17043,1.17144,1.17042,1.17124
2020-11-03 11:35:00,516.0,1.17126,1.17174,1.17123,1.17137
2020-11-03 11:40:00,524.0,1.17138,1.17182,1.17134,1.17136
2020-11-03 11:45:00,253.0,1.17134,1.17134,1.17098,1.17101
2020-11-03 11:50:00,443.0,1.17102,1.17112,1.17077,1.17096
2020-11-03 11:55:00,555.0,1.17094,1.17116,1.17058,1.17068
2020-11-03 12:00:00,470.0,1.1707,1.17104,1.17068,1.17099
2020-11-03 12:05:00,290.0,1.17098,1.17102,1.17062,1.17083
2020-11-03 12:10:00,331.0,1.17082,1.17086,1.17055,1.17056
2020-11-03 12:15:00,371.0,1.17055,1.17055,1.17024,1.17039
2020-11-03 12:20:00,414.0,1.17038,1.17118,1.17028,1.17084
2020-11-03 12:25:00,317.0,1.17086,1.17098,1.17056,1.17066
2020-11-03 12:30:00,357.0,1.17066,1.17066,1.17027,1.17028
2020-11-03 12:35:00,322.0,1.17026,1.17032,1.17012,1.17018
2020-11-03 12:40:00,351.0,1.17018,1.17044,1.17016,1.17034
2020-11-03 12:45:00,295.0,1.17035,1.17055,1.17034,1.17047
2020-11-03 12:50:00,255.0,1.17048,1.1706,1.17034,1.17035
2020-11-03 12:55:00,419.0,1.17034,1.17049,1.16986,1.16992
2020-11-03 13:00:00,457.0,1.16994,1.17032,1.16994,1.17019
2020-11-03 13:05:00,244.0,1.1702,1.17054,1.17019,1.17039
2020-11-03 13:10:00,251.0,1.17041,1.17041,1.17004,1.17023
2020-11-03 13:15:00,293.0,1.17024,1.17048,1.17008,1.17043
2020-11-03 13:20:00,375.0,1.17044,1.17052,1.17025,1.17036
2020-11-03 13:25:00,367.0,1.17037,1.17093,1.17035,1.17083
2020-11-03 13:30:00,529.0,1.17084,1.17136,1.17072,1.17123
2020-11-03 13:35:00,334.0,1.17122,1.17131,1.17088,1.1709
2020-11-03 13:40:00,394.0,1.17091,1.17128,1.17044,1.17048
2020-11-03 13:45:00,342.0,1.17046,1.17071,1.17045,1.17053
2020-11-03 13:50:00,324.0,1.17054,1.17054,1.17022,1.17038
2020-11-03 13:55:00,306.0,1.1704,1.17078,1.17034,1.17045
2020-11-03 14:00:00,295.0,1.17046,1.17092,1.17046,1.17084
2020-11-03 14:05:00,274.0,1.17083,1.17094,1.17067,1.17068
2020-11-03 14:10:00,305.0,1.17069,1.17078,1.17024,1.17048
2020-11-03 14:15:00,353.0,1.1705,1.1707,1.17028,1.17062
2020-11-03 14:20:00,362.0,1.17064,1.17124,1.17064,1.17118
2020-11-03 14:25:00,419.0,1.17117,1.17184,1.17114,1.17181
2020-11-03 14:30:00,833.0,1.17182,1.17211,1.17158,1.17204
2020-11-03 14:35:00,551.0,1.17203,1.17222,1.17174,1.17179
2020-11-03 14:40:00,335.0,1.17181,1.17182,1.17152,1.17175
2020-11-03 14:45:00,494.0,1.17176,1.17178,1.17134,1.17134
2020-11-03 14:50:00,550.0,1.17135,1.17178,1.17128,1.17146
2020-11-03 14:55:00,448.0,1.17148,1.17161,1.17114,1.17116
2020-11-03 15:00:00,495.0,1.17116,1.17196,1.17116,1.17189
2020-11-03 15:05:00,510.0,1.1719,1.17238,1.1718,1.17204
2020-11-03 15:10:00,562.0,1.17206,1.17217,1.17189,1.17206
2020-11-03 15:15:00,395.0,1.17208,1.17218,1.17166,1.1721
2020-11-03 15:20:00,451.0,1.17211,1.1725,1.17202,1.17224
2020-11-03 15:25:00,558.0,1.17224,1.17224,1.17177,1.17184
2020-11-03 15:30:00,430.0,1.17185,1.1725,1.17185,1.17225
2020-11-03 15:35:00,337.0,1.17226,1.17239,1.17186,1.17204
2020-11-03 15:40:00,354.0,1.17203,1.1723,1.17189,1.17212
2020-11-03 15:45:00,528.0,1.17213,1.17248,1.17203,1.17228
2020-11-03 15:50:00,731.0,1.17229,1.17337,1.17229,1.17334
2020-11-03 15:55:00,605.0,1.17336,1.17354,1.17294,1.17297
2020-11-03 16:00:00,536.0,1.17296,1.1731,1.17266,1.17268
2020-11-03 16:05:00,450.0,1.1727,1.1734,1.1727,1.17339
2020-11-03 16:10:00,475.0,1.1734,1.17358,1.17314,1.1734
2020-11-03 16:15:00,541.0,1.17339,1.17399,1.17326,1.17356
2020-11-03 16:20:00,404.0,1.17358,1.17359,1.17312,1.17324
2020-11-03 16:25:00,228.0,1.17325,1.17328,1.1729,1.17292
2020-11-03 16:30:00,320.0,1.1729,1.17298,1.1727,1.17276
2020-11-03 16:35:00,326.0,1.17276,1.17288,1.17256,1.17282
2020-11-03 16:40:00,420.0,1.17284,1.17301,1.17231,1.17234
2020-11-03 16:45:00,280.0,1.17233,1.17249,1.1722,1.17222
2020-11-03 16:50:00,366.0,1.17224,1.1725,1.17212,1.17237
2020-11-03 16:55:00,334.0,1.17236,1.17246,1.17216,1.17237
2020-11-03 17:00:00,328.0,1.17238,1.17261,1.17231,1.17233
2020-11-03 17:05:00,259.0,1.17234,1.17264,1.1723,1.17262
2020-11-03 17:10:00,220.0,1.17262,1.17286,1.17256,1.17256
2020-11-03 17:15:00,247.0,1.17255,1.1727,1.17246,1.17269
2020-11-03 17:20:00,164.0,1.1727,1.17279,1.1726,1.17278
2020-11-03 17:25:00,166.0,1.17276,1.17293,1.1727,1.1728
2020-11-03 17:30:00,258.0,1.17282,1.17284,1.17229,1.17229
2020-11-03 17:35:00,143.0,1.1723,1.17236,1.17223,1.17226
2020-11-03 17:40:00,217.0,1.17228,1.17242,1.17204,1.1721
2020-11-03 17:45:00,351.0,1.17211,1.17211,1.17166,1.1717
2020-11-03 17:50:00,239.0,1.17172,1.17174,1.17145,1.17146
2020-11-03 17:55:00,538.0,1.17148,1.1716,1.17082,1.17096
2020-11-03 18:00:00,362.0,1.17097,1.17129,1.17096,1.17102
2020-11-03 18:05:00,254.0,1.17104,1.17104,1.17072,1.17081
2020-11-03 18:10:00,156.0,1.17082,1.17088,1.1707,1.1708
2020-11-03 18:15:00,112.0,1.17082,1.17093,1.17075,1.17075
2020-11-03 18:20:00,325.0,1.17074,1.1708,1.17038,1.1704
2020-11-03 18:25:00,316.0,1.17042,1.17052,1.17022,1.17047
2020-11-03 18:30:00,180.0,1.17048,1.17063,1.17042,1.17057
2020-11-03 18:35:00,207.0,1.17056,1.17063,1.17038,1.17052
2020-11-03 18:40:00,175.0,1.17051,1.1707,1.17042,1.17051
2020-11-03 18:45:00,234.0,1.17052,1.17052,1.1703,1.17032
2020-11-03 18:50:00,208.0,1.17034,1.17052,1.1703,1.17048
2020-11-03 18:55:00,236.0,1.17046,1.17053,1.16996,1.16996
2020-11-03 19:00:00,201.0,1.16998,1.1703,1.16994,1.17027
2020-11-03 19:05:00,225.0,1.17028,1.17028,1.16988,1.16992
2020-11-03 19:10:00,228.0,1.16992,1.17012,1.16992,1.17002
2020-11-03 19:15:00,188.0,1.17002,1.17018,1.1699,1.17012
2020-11-03 19:20:00,200.0,1.17013,1.17026,1.17012,1.17026
2020-11-03 19:25:00,173.0,1.17026,1.17038,1.17021,1.17038
2020-11-03 19:30:00,210.0,1.1704,1.17046,1.17021,1.17038
2020-11-03 19:35:00,155.0,1.1704,1.17044,1.17024,1.17029
2020-11-03 19:40:00,111.0,1.1703,1.1704,1.17018,1.17035
2020-11-03 19:45:00,119.0,1.17036,1.1704,1.17013,1.17034
2020-11-03 19:50:00,184.0,1.17035,1.17035,1.17008,1.17024
2020-11-03 19:55:00,323.0,1.17022,1.17058,1.17022,1.17052
2020-11-03 20:00:00,327.0,1.1705,1.17059,1.17024,1.17028
2020-11-03 20:05:00,136.0,1.17028,1.17049,1.17024,1.17034
2020-11-03 20:10:00,117.0,1.17032,1.17035,1.17022,1.17024
2020-11-03 20:15:00,106.0,1.17025,1.17025,1.17008,1.17011
2020-11-03 20:20:00,252.0,1.17012,1.17021,1.16956,1.16964
2020-11-03 20:25:00,213.0,1.16964,1.17003,1.16962,1.16999
2020-11-03 20:30:00,181.0,1.17001,1.17017,1.16987,1.17014
2020-11-03 20:35:00,166.0,1.17012,1.17018,1.17006,1.17011
2020-11-03 20:40:00,228.0,1.17012,1.17022,1.16996,1.17009
2020-11-03 20:45:00,157.0,1.1701,1.17028,1.1701,1.17028
2020-11-03 20:50:00,266.0,1.17028,1.17029,1.17002,1.17015
2020-11-03 20:55:00,212.0,1.17014,1.17028,1.17008,1.17024
2020-11-03 21:00:00,307.0,1.17022,1.17134,1.1701,1.17134
2020-11-03 21:05:00,219.0,1.17133,1.17152,1.17123,1.17128
2020-11-03 21:10:00,112.0,1.17126,1.17126,1.17106,1.17118
2020-11-03 21:15:00,155.0,1.1712,1.17137,1.1712,1.17135
2020-11-03 21:20:00,69.0,1.17136,1.17168,1.17136,1.17164
2020-11-03 21:25:00,118.0,1.17164,1.17168,1.1715,1.17166
2020-11-03 21:30:00,121.0,1.17166,1.17194,1.1716,1.17186
2020-11-03 21:35:00,140.0,1.17188,1.17202,1.17171,1.17196
2020-11-03 21:40:00,89.0,1.17194,1.17206,1.17193,1.17198
2020-11-03 21:45:00,117.0,1.172,1.17204,1.1718,1.17199
2020-11-03 21:50:00,169.0,1.17201,1.17218,1.17196,1.17206
2020-11-03 21:55:00,177.0,1.17205,1.17228,1.17196,1.17196
2020-11-03 22:00:00,7.0,1.17178,1.17182,1.17172,1.17178
2020-11-03 22:05:00,1.0,1.17183,1.17183,1.17183,1.17183
2020-11-03 22:10:00,2.0,1.17177,1.17183,1.17177,1.17183
2020-11-03 22:15:00,21.0,1.17188,1.17237,1.17188,1.17192
2020-11-03 22:20:00,16.0,1.17186,1.17225,1.17186,1.17204
2020-11-03 22:25:00,7.0,1.17196,1.1721,1.17184,1.17204
2020-11-03 22:30:00,3.0,1.172,1.172,1.17196,1.172
2020-11-03 22:35:00,100.0,1.17194,1.17216,1.1718,1.17197
2020-11-03 22:40:00,58.0,1.17202,1.17238,1.17201,1.1722
2020-11-03 22:45:00,25.0,1.17217,1.17243,1.17203,1.17222
2020-11-03 22:50:00,10.0,1.17219,1.17236,1.17219,1.17236
2020-11-03 22:55:00,34.0,1.17238,1.17282,1.17238,1.17282
2020-11-03 23:00:00,308.0,1.17282,1.1736,1.17258,1.1734
2020-11-03 23:05:00,247.0,1.17338,1.17389,1.17316,1.17373
2020-11-03 23:10:00,186.0,1.17375,1.17426,1.17375,1.17424
2020-11-03 23:15:00,400.0,1.17425,1.1749,1.17416,1.17456
2020-11-03 23:20:00,206.0,1.17455,1.17468,1.1742,1.17437
2020-11-03 23:25:00,163.0,1.17438,1.17499,1.17438,1.17495
2020-11-03 23:30:00,478.0,1.17496,1.17638,1.17492,1.1758
2020-11-03 23:35:00,308.0,1.17579,1.17579,1.17538,1.1756
2020-11-03 23:40:00,477.0,1.1756,1.17641,1.17534,1.17536
2020-11-03 23:45:00,246.0,1.17534,1.17559,1.17506,1.17538
2020-11-03 23:50:00,113.0,1.17539,1.17564,1.17539,1.17546
2020-11-03 23:55:00,271.0,1.17548,1.17621,1.1754,1.1762
2020-11-04 00:00:00,1352.0,1.17622,1.17644,1.17341,1.17494
2020-11-04 00:05:00,882.0,1.17492,1.17655,1.17484,1.17614
2020-11-04 00:10:00,617.0,1.17612,1.17707,1.17585,1.1767
2020-11-04 00:15:00,543.0,1.17668,1.17684,1.17577,1.17668
2020-11-04 00:20:00,965.0,1.17666,1.17676,1.17481,1.1752
2020-11-04 00:25:00,801.0,1.17518,1.1755,1.17398,1.17456
2020-11-04 00:30:00,574.0,1.17458,1.17488,1.17381,1.17386
2020-11-04 00:35:00,1008.0,1.17387,1.17431,1.17209,1.17271
2020-11-04 00:40:00,950.0,1.17272,1.17354,1.17115,1.17154
2020-11-04 00:45:00,836.0,1.17155,1.17254,1.1705,1.17216
2020-11-04 00:50:00,660.0,1.17214,1.1722,1.17114,1.17114
2020-11-04 00:55:00,1150.0,1.17112,1.17177,1.16886,1.16894
2020-11-04 01:00:00,1385.0,1.16896,1.17124,1.16851,1.17053
2020-11-04 01:05:00,727.0,1.17052,1.17151,1.17035,1.17118
2020-11-04 01:10:00,866.0,1.17116,1.17266,1.17102,1.1712
2020-11-04 01:15:00,769.0,1.17122,1.17135,1.17018,1.17038
2020-11-04 01:20:00,890.0,1.17039,1.17165,1.17039,1.17084
2020-11-04 01:25:00,1857.0,1.17083,1.17083,1.16761,1.16833
2020-11-04 01:30:00,1192.0,1.16832,1.16958,1.16798,1.16846
2020-11-04 01:35:00,1180.0,1.16848,1.16934,1.16738,1.16802
2020-11-04 01:40:00,954.0,1.16804,1.16907,1.16758,1.16907
2020-11-04 01:45:00,561.0,1.16905,1.16905,1.16836,1.16892
2020-11-04 01:50:00,976.0,1.1689,1.1704,1.16874,1.17
2020-11-04 01:55:00,885.0,1.16998,1.1702,1.16804,1.16842
2020-11-04 02:00:00,722.0,1.16843,1.1686,1.16804,1.16844
2020-11-04 02:05:00,856.0,1.16842,1.16859,1.16778,1.16812
2020-11-04 02:10:00,526.0,1.16814,1.16858,1.168,1.1685
2020-11-04 02:15:00,1036.0,1.16849,1.16852,1.16692,1.16725
2020-11-04 02:20:00,1532.0,1.16726,1.16748,1.16362,1.16363
2020-11-04 02:25:00,1757.0,1.16364,1.16528,1.16338,1.16407
